"MouseID","Area","Perim.","Mean","StdDev","Mode","Min","Max","Median","Skew","Kurt","Major","Minor","Angle","Circ.","AR","Round","Solidity","Feret","FeretAngle","MinFeret","IntDen","RawIntDen","TumourCalling"
"83556-0",0.92,4.399,79.321,32.643,60,0,144,75,0.043,-0.718,1.219,0.96,132.319,0.597,1.269,0.788,0.892,1.469,125.417,1.011,72.936,103117,"nAd"
"83556-0",1.984,6.564,75.253,28.379,0,0,132,77,-0.57,0.079,2.081,1.214,151.357,0.579,1.714,0.583,0.904,2.338,146.129,1.377,149.303,211084,"nAd"
"83556-0",2.331,9.674,74.372,24.365,82,0,129,77,-0.62,0.214,2.391,1.242,149.427,0.313,1.925,0.519,0.813,2.548,161.754,1.491,173.384,245130,"nAd"
"83556-0",0.222,2.218,72.121,13.109,85,35,101,74,-0.284,-0.639,0.566,0.499,173.196,0.567,1.134,0.882,0.83,0.632,104.621,0.578,16.018,22646,"nAd"
"83556-0",3.474,11.142,75.616,26.952,0,0,139,78,-0.719,0.564,2.728,1.621,131.178,0.352,1.682,0.594,0.849,2.92,138.323,1.783,262.662,371352,"nAd"
"83556-0",2.644,8.954,67.465,23.674,71,0,132,70,-0.657,0.568,1.978,1.702,83.246,0.414,1.162,0.861,0.867,2.258,57.995,1.741,178.374,252185,"nAd"
"83556-0",1.903,9.719,69.925,22.178,67,0,132,72,-0.444,0.54,2.735,0.886,17.989,0.253,3.087,0.324,0.732,3.013,20.674,1.06,133.094,188169,"nAd"
"83556-0",1.798,9.595,72.295,23.303,80,0,142,75,-0.809,1.252,2.449,0.935,172.407,0.245,2.621,0.382,0.802,2.641,161.2,1.077,129.985,183773,"nAd"
"83556-0",0.24,2.471,97.767,29.532,77,10,151,99,-0.304,-0.619,0.601,0.508,45.921,0.493,1.182,0.846,0.79,0.723,53.973,0.587,23.442,33143,"nAd"
"83556-0",3.902,14.393,65.162,24.535,0,0,129,68,-0.594,0.285,3.316,1.498,151.277,0.237,2.214,0.452,0.83,3.599,149.835,1.695,254.233,359434,"nAd"
"83556-0",0.472,4.749,73.151,18.429,78,0,117,76,-0.961,2.014,0.866,0.693,26.682,0.263,1.249,0.8,0.697,1.152,18.853,0.892,34.511,48792,"nAd"
"83556-0",0.32,2.978,75.996,15.588,80,28,114,75,0.128,-0.067,0.879,0.464,149.09,0.454,1.895,0.528,0.776,0.959,146.31,0.613,24.35,34426,"nAd"
"83556-0",0.311,3.27,77.292,17.341,71,36,114,75,0.202,-0.867,0.817,0.484,118.352,0.365,1.688,0.592,0.7,0.964,117.979,0.696,24,33931,"nAd"
"83556-0",0.275,2.628,77.748,22.751,65,0,145,75,0.14,0.954,0.773,0.453,22.348,0.501,1.704,0.587,0.781,0.858,29.745,0.585,21.392,30244,"nAd"
"83556-0",1.236,7.024,71.456,32.066,0,0,161,69,0.149,0.084,1.586,0.992,167.251,0.315,1.599,0.625,0.794,1.712,6.242,1.136,88.297,124834,"nAd"
"83556-0",0.352,3.483,79.98,26.095,75,8,139,80,-0.219,-0.413,0.965,0.465,29.803,0.365,2.074,0.482,0.771,1.166,34.778,0.525,28.172,39830,"nAd"
"83556-0",0.25,2.258,97.351,25.874,95,17,146,99,-0.273,-0.536,0.74,0.43,122.269,0.615,1.722,0.581,0.837,0.848,131.186,0.505,24.307,34365,"nAd"
"83556-0",0.58,4.692,69.718,28.509,75,0,142,71,-0.274,-0.288,0.901,0.82,55.704,0.331,1.099,0.91,0.771,1.11,44.029,0.968,40.436,57169,"nAd"
"83556-0",0.399,3.664,71.947,33.77,0,0,146,75,-0.291,-0.574,1.146,0.443,118.682,0.373,2.584,0.387,0.738,1.442,119.876,0.594,28.701,40578,"nAd"
"83556-0",0.632,4.138,67.382,10.687,69,28,110,66,0.495,0.909,1.068,0.753,17.167,0.464,1.42,0.704,0.812,1.324,22.443,0.871,42.56,60172,NA
"83556-0",0.704,4.091,68.858,26.389,67,0,144,67,0.048,1.203,1.033,0.868,98.448,0.528,1.191,0.84,0.829,1.148,76.608,1.014,48.461,68514,NA
"83556-0",1.453,7.098,74.29,17.836,71,19,131,73,0.218,-0.08,1.831,1.01,9.645,0.362,1.813,0.552,0.829,2.036,23.886,1.125,107.93,152591,"nAd"
"83556-0",0.385,3.874,62.771,29.941,0,0,129,65,-0.383,-0.311,0.794,0.618,119.882,0.323,1.286,0.778,0.734,1.068,108.886,0.729,24.197,34210,"nAd"
"83556-0",0.765,4.784,65.365,24.995,69,0,122,67,-0.448,0.048,1.109,0.878,37.107,0.42,1.264,0.791,0.825,1.25,51.911,0.996,49.979,70660,"nAd"
"83556-0",0.354,3.424,97.028,24.14,116,29,152,97,0.005,-0.58,0.908,0.496,81.764,0.379,1.832,0.546,0.716,1.096,95.572,0.67,34.315,48514,"nAd"
"83557-1",6.086,11.767,88.559,27.767,99,0,149,94,-0.95,1.06,3.113,2.489,32.623,0.552,1.251,0.8,0.901,3.484,37.999,2.525,538.954,659141,"nAd"
"83557-1",4.714,11.661,79.951,31.229,0,0,145,84,-0.445,-0.366,2.955,2.031,0.85,0.436,1.455,0.687,0.868,3.357,171.18,2.23,376.873,460916,"nAd"
"83557-1",1.289,6.513,80.135,25.738,64,0,152,78,0.28,0.068,1.682,0.976,22.538,0.382,1.724,0.58,0.807,1.921,14.657,1.136,103.265,126293,"nAd"
"83557-1",1.096,6.043,82.857,19.664,92,0,136,85,-0.7,1.606,1.817,0.768,28.254,0.377,2.365,0.423,0.866,1.845,18.997,0.847,90.783,111028,"nAd"
